Transaction ID,Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
1,238,45,Sensitive Skin Treatment,25,2024-03-24
1,238,35,Lip Care,15,2024-03-24
1,238,34,Lip Care,5,2024-03-24
1,238,4,Cleansers,20,2024-03-24
1,238,50,Pore Care,20,2024-03-24
2,379,35,Lip Care,15,2024-04-10
2,379,22,Moisturizers,40,2024-04-10
2,379,36,Lip Care,20,2024-04-10
2,379,34,Lip Care,5,2024-04-10
2,379,19,Moisturizers,25,2024-04-10
3,198,34,Lip Care,5,2024-03-01
3,198,45,Sensitive Skin Treatment,25,2024-03-01
3,198,1,Cleansers,20,2024-03-01
4,145,4,Cleansers,20,2024-06-19
4,145,40,Acne Treatment,35,2024-06-19
4,145,2,Cleansers,15,2024-06-19
5,445,44,Sensitive Skin Treatment,25,2024-10-23
5,445,1,Cleansers,20,2024-10-23
5,445,34,Lip Care,5,2024-10-23
5,445,45,Sensitive Skin Treatment,25,2024-10-23
6,108,21,Moisturizers,35,2024-11-30
6,108,18,Moisturizers,30,2024-11-30
6,108,3,Cleansers,20,2024-11-30
7,382,45,Sensitive Skin Treatment,25,2024-05-10
7,382,4,Cleansers,20,2024-05-10
7,382,33,Eye Care,25,2024-05-10
7,382,3,Cleansers,20,2024-05-10
7,382,35,Lip Care,15,2024-05-10
8,323,45,Sensitive Skin Treatment,25,2024-11-20
8,323,44,Sensitive Skin Treatment,25,2024-11-20
8,323,21,Moisturizers,35,2024-11-20
8,323,1,Cleansers,20,2024-11-20
8,323,3,Cleansers,20,2024-11-20
9,95,4,Cleansers,20,2024-02-18
9,95,40,Acne Treatment,35,2024-02-18
9,95,5,Cleansers,25,2024-02-18
10,259,45,Sensitive Skin Treatment,25,2024-03-11
10,259,4,Cleansers,20,2024-03-11
10,259,21,Moisturizers,35,2024-03-11
10,259,5,Cleansers,25,2024-03-11
11,269,45,Sensitive Skin Treatment,25,2024-09-23
11,269,34,Lip Care,5,2024-09-23
12,76,40,Acne Treatment,35,2024-10-19
12,76,35,Lip Care,15,2024-10-19
12,76,45,Sensitive Skin Treatment,25,2024-10-19
12,76,20,Moisturizers,30,2024-10-19
13,133,45,Sensitive Skin Treatment,25,2024-04-09
13,133,4,Cleansers,20,2024-04-09
13,133,22,Moisturizers,40,2024-04-09
13,133,34,Lip Care,5,2024-04-09
14,203,1,Cleansers,20,2025-01-10
14,203,19,Moisturizers,25,2025-01-10
14,203,33,Eye Care,25,2025-01-10
14,203,3,Cleansers,20,2025-01-10
15,184,4,Cleansers,20,2024-04-11
15,184,20,Moisturizers,30,2024-04-11
15,184,39,Acne Treatment,35,2024-04-11
15,184,3,Cleansers,20,2024-04-11
15,184,45,Sensitive Skin Treatment,25,2024-04-11
16,490,45,Sensitive Skin Treatment,25,2024-01-21
16,490,19,Moisturizers,25,2024-01-21
17,403,5,Cleansers,25,2024-05-02
17,403,19,Moisturizers,25,2024-05-02
17,403,34,Lip Care,5,2024-05-02
17,403,1,Cleansers,20,2024-05-02
17,403,21,Moisturizers,35,2024-05-02
18,424,35,Lip Care,15,2024-01-30
18,424,31,Eye Care,55,2024-01-30
18,424,36,Lip Care,20,2024-01-30
18,424,5,Cleansers,25,2024-01-30
18,424,3,Cleansers,20,2024-01-30
19,10,34,Lip Care,5,2025-01-07
19,10,35,Lip Care,15,2025-01-07
19,10,36,Lip Care,20,2025-01-07
20,92,20,Moisturizers,30,2024-02-26
20,92,46,Skin Repair & Healing,20,2024-02-26
21,198,44,Sensitive Skin Treatment,25,2024-02-11
21,198,1,Cleansers,20,2024-02-11
21,198,39,Acne Treatment,35,2024-02-11
22,38,34,Lip Care,5,2024-02-12
22,38,35,Lip Care,15,2024-02-12
22,38,39,Acne Treatment,35,2024-02-12
22,38,36,Lip Care,20,2024-02-12
22,38,40,Acne Treatment,35,2024-02-12
23,142,3,Cleansers,20,2025-01-18
23,142,20,Moisturizers,30,2025-01-18
23,142,34,Lip Care,5,2025-01-18
24,479,44,Sensitive Skin Treatment,25,2024-03-03
24,479,19,Moisturizers,25,2024-03-03
24,479,31,Eye Care,55,2024-03-03
25,419,44,Sensitive Skin Treatment,25,2024-09-15
25,419,33,Eye Care,25,2024-09-15
25,419,3,Cleansers,20,2024-09-15
25,419,19,Moisturizers,25,2024-09-15
25,419,5,Cleansers,25,2024-09-15
26,343,20,Moisturizers,30,2025-01-14
26,343,5,Cleansers,25,2025-01-14
26,343,33,Eye Care,25,2025-01-14
27,380,36,Lip Care,20,2024-01-13
27,380,3,Cleansers,20,2024-01-13
27,380,35,Lip Care,15,2024-01-13
27,380,20,Moisturizers,30,2024-01-13
27,380,5,Cleansers,25,2024-01-13
28,407,44,Sensitive Skin Treatment,25,2025-01-13
28,407,5,Cleansers,25,2025-01-13
28,407,22,Moisturizers,40,2025-01-13
28,407,18,Moisturizers,30,2025-01-13
29,246,35,Lip Care,15,2025-01-22
29,246,50,Pore Care,20,2025-01-22
29,246,21,Moisturizers,35,2025-01-22
29,246,5,Cleansers,25,2025-01-22
30,135,20,Moisturizers,30,2024-12-28
30,135,18,Moisturizers,30,2024-12-28
30,135,35,Lip Care,15,2024-12-28
30,135,2,Cleansers,15,2024-12-28
31,69,48,Skin Repair & Healing,20,2025-01-12
31,69,1,Cleansers,20,2025-01-12
31,69,34,Lip Care,5,2025-01-12
31,69,19,Moisturizers,25,2025-01-12
32,240,20,Moisturizers,30,2024-12-30
32,240,4,Cleansers,20,2024-12-30
32,240,5,Cleansers,25,2024-12-30
32,240,44,Sensitive Skin Treatment,25,2024-12-30
33,354,5,Cleansers,25,2024-01-10
33,354,36,Lip Care,20,2024-01-10
34,211,33,Eye Care,25,2024-09-03
34,211,44,Sensitive Skin Treatment,25,2024-09-03
35,203,33,Eye Care,25,2024-03-26
35,203,35,Lip Care,15,2024-03-26
35,203,31,Eye Care,55,2024-03-26
36,250,22,Moisturizers,40,2024-09-18
36,250,21,Moisturizers,35,2024-09-18
37,331,22,Moisturizers,40,2024-05-19
37,331,3,Cleansers,20,2024-05-19
37,331,20,Moisturizers,30,2024-05-19
38,371,5,Cleansers,25,2025-02-10
38,371,33,Eye Care,25,2025-02-10
38,371,49,Pore Care,35,2025-02-10
38,371,4,Cleansers,20,2025-02-10
39,357,49,Pore Care,35,2024-01-18
39,357,3,Cleansers,20,2024-01-18
39,357,45,Sensitive Skin Treatment,25,2024-01-18
39,357,31,Eye Care,55,2024-01-18
39,357,35,Lip Care,15,2024-01-18
40,479,19,Moisturizers,25,2024-01-18
40,479,44,Sensitive Skin Treatment,25,2024-01-18
41,159,44,Sensitive Skin Treatment,25,2024-01-01
41,159,1,Cleansers,20,2024-01-01
41,159,5,Cleansers,25,2024-01-01
41,159,2,Cleansers,15,2024-01-01
41,159,4,Cleansers,20,2024-01-01
42,375,44,Sensitive Skin Treatment,25,2024-09-25
42,375,4,Cleansers,20,2024-09-25
42,375,5,Cleansers,25,2024-09-25
42,375,31,Eye Care,55,2024-09-25
42,375,22,Moisturizers,40,2024-09-25
43,418,19,Moisturizers,25,2024-08-22
43,418,31,Eye Care,55,2024-08-22
44,146,5,Cleansers,25,2024-12-07
44,146,19,Moisturizers,25,2024-12-07
44,146,50,Pore Care,20,2024-12-07
44,146,4,Cleansers,20,2024-12-07
44,146,34,Lip Care,5,2024-12-07
45,482,45,Sensitive Skin Treatment,25,2024-11-07
45,482,36,Lip Care,20,2024-11-07
45,482,20,Moisturizers,30,2024-11-07
46,299,44,Sensitive Skin Treatment,25,2024-05-11
46,299,1,Cleansers,20,2024-05-11
46,299,3,Cleansers,20,2024-05-11
46,299,21,Moisturizers,35,2024-05-11
47,469,5,Cleansers,25,2024-11-30
47,469,34,Lip Care,5,2024-11-30
47,469,18,Moisturizers,30,2024-11-30
47,469,35,Lip Care,15,2024-11-30
48,398,44,Sensitive Skin Treatment,25,2024-03-19
48,398,19,Moisturizers,25,2024-03-19
48,398,2,Cleansers,15,2024-03-19
49,335,35,Lip Care,15,2024-08-10
49,335,36,Lip Care,20,2024-08-10
49,335,19,Moisturizers,25,2024-08-10
49,335,33,Eye Care,25,2024-08-10
49,335,50,Pore Care,20,2024-08-10
50,309,18,Moisturizers,30,2024-09-02
50,309,49,Pore Care,35,2024-09-02
50,309,22,Moisturizers,40,2024-09-02
50,309,3,Cleansers,20,2024-09-02
51,201,20,Moisturizers,30,2024-02-07
51,201,50,Pore Care,20,2024-02-07
51,201,22,Moisturizers,40,2024-02-07
51,201,35,Lip Care,15,2024-02-07
51,201,36,Lip Care,20,2024-02-07
52,243,35,Lip Care,15,2024-04-02
52,243,22,Moisturizers,40,2024-04-02
52,243,20,Moisturizers,30,2024-04-02
53,148,45,Sensitive Skin Treatment,25,2024-05-27
53,148,3,Cleansers,20,2024-05-27
53,148,36,Lip Care,20,2024-05-27
54,38,34,Lip Care,5,2025-01-10
54,38,48,Skin Repair & Healing,20,2025-01-10
55,66,4,Cleansers,20,2024-12-24
55,66,40,Acne Treatment,35,2024-12-24
55,66,18,Moisturizers,30,2024-12-24
55,66,21,Moisturizers,35,2024-12-24
